herramienta,en_relevamiento
Acrobat Tools,True
Calendarios Impositivos,True
Conciliacion de Deducciones - ComplyPro,True
Conciliación de Deducciones - ComplyPro,True
Control de correlatividad - ComplyPro,True
Control de duplicados - ComplyPro,True
Descarga de deducciones - ComplyPro,True
Identificacion de registros faltantes - ComplyPro,True
Identificación de registros faltantes - ComplyPro,True
NFE Alert,True
No,True
Padrones Impositivos - ComplyPro,True
Permisos de Embarque MOA Reingeniería,True
Sumarizacion y control por totales - ComplyPro,True
Sumarización y control por totales - ComplyPro,True
CARGA DDJJ - F2668,False
CO - Ultragenyx,False
Carga de Autonomos VEP,False
F572,False
GUI: Actualizacion,False
GUI: Instalacion,False
MX - Ultragenyx,False
Payroll - Match Recibo CUIL,False
Proceso Bunge,False
Revision Domicilios Fiscales Electronicos,False
SLATAM - Validacion Tiempos,False
Tablas Ratio Report - Precios de Transferencia,False
UY - Envio Recibo de Sueldos,False
WP - Imp Gcias Personas Fisicas,False
WP - Impuestos a las Ganancias,False
